Species,Food Preference,Kind of Snacker
Angel,['Diving' 'Swimming'],"['Afternoon Yummys Guy', 'Evening Dinner Fella']"
Barracua,Surfing,Early Bird Eater
Blacktip,Surfing,Afternoon Yummys Guy
Blue,['Fishing' 'Surfing' 'Swimming'],Afternoon Yummys Guy
Bull,Surfing,Afternoon Yummys Guy
Carcharinid,['Fishing' 'Swimming'],"['Afternoon Yummys Guy', 'Early Bird Eater']"
Cookiecutter,Swimming,Evening Dinner Fella
Cow,Fishing,Early Bird Eater
Dusky,['Diving' 'Surfing'],Afternoon Yummys Guy
Galapagos,Swimming,Afternoon Yummys Guy
Grey,Fishing,Afternoon Yummys Guy
Hammerhead,Fishing,Afternoon Yummys Guy
Lemon,Fishing,"['Afternoon Yummys Guy', 'Early Bird Eater']"
Mako,Fishing,Afternoon Yummys Guy
Nurse,['Diving' 'Fishing'],Afternoon Yummys Guy
Other,Surfing,Afternoon Yummys Guy
Porbeagle,Diving,Afternoon Yummys Guy
Raggedtooth,Fishing,Afternoon Yummys Guy
Reef,['Diving' 'Fishing'],Afternoon Yummys Guy
Salmon,Swimming,Late Snacker
Sandbar,Fishing,Afternoon Yummys Guy
Sandtiger,['Diving' 'Fishing' 'Swimming'],Afternoon Yummys Guy
Silky,Diving,Afternoon Yummys Guy
Spinner,Surfing,Afternoon Yummys Guy
Stingray,Fishing,Late Snacker
Thresher,Fishing,Afternoon Yummys Guy
Tiger,Surfing,Afternoon Yummys Guy
Whale,Surfing,Afternoon Yummys Guy
White,Surfing,Afternoon Yummys Guy
Whitetip,Diving,"['Afternoon Yummys Guy', 'Early Bird Eater']"
Wobbegong,['Surfing' 'Swimming'],"['Afternoon Yummys Guy', 'Evening Dinner Fella']"
Zambesi,Swimming,Early Bird Eater
